Race_Distance,Level,Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Half Marathon,2,5,Foundation Run 5,Fast Finish Run 5,Recovery Run 6,Foundation Run 6,Hill Repetition Run 6,Recovery Run 6,Long Run 7
Half Marathon,2,6,REST,Fast Finish Run 4,Recovery Run 5,Foundation Run 5,Hill Repetition Run 4,Recovery Run 5,Long Run 3
Half Marathon,2,7,Foundation Run 6,Cruise Interval Run 1,Recovery Run 6,Foundation Run 6,Short Interval Run 4,Recovery Run 6,Long Run with Speed Play 1
Half Marathon,2,8,Recovery Run 6,Tempo Run 4,Recovery Run 6,Foundation Run 6,Short Interval Run 5,Recovery Run 6,Long Run with Speed Play 2
Half Marathon,2,9,REST,Cruise Interval Run 1,Recovery Run 5,Foundation Run 6,Short Interval Run 3,Recovery Run 5,Long Run with Fast Finish 1
Half Marathon,2,10,Foundation Run 6,Tempo Run 5,Recovery Run 6,Foundation Run 6,Long Interval Run 3,Recovery Run 6,Long Run with Speed Play 2
Half Marathon,2,11,Recovery Run 6,Cruise Interval Run 2,Recovery Run 6,Foundation Run 6,Long Interval Run 6,Recovery Run 6,Long Run with Fast Finish 2
Half Marathon,2,12,REST,Tempo Run 4,Recovery Run 5,Foundation Run 6,Long Interval Run 3,Recovery Run 5,Long Run with Speed Play 1
Half Marathon,2,13,Foundation Run 6,Tempo Run 7,Recovery Run 6,Foundation Run 6,Mixed Interval Run 2,Recovery Run 6,Long Run with Fast Finish 3
Half Marathon,2,14,Recovery Run 5,Tempo Run 5,Recovery Run 5,Foundation Run 4,Mixed Interval Run 2,Recovery Run 4,Long Run with Speed Play 1
Half Marathon,2,15,REST,Fast Finish Run 5,Foundation Run 4,Foundation Run 3,Speed Play Run 2,Recovery Run 2,Half Marathon
Half Marathon,3,1,Foundation Run 6,Fast Finish Run 6,Foundation Run 6,Foundation Run 6,Speed Play Run 8,Foundation Run 6,Long Run 3
Half Marathon,3,1,,Foundation Run 3,,,,,
Half Marathon,3,2,Foundation Run 6,Fast Finish Run 7,Foundation Run 7,Foundation Run 6,Speed Play Run 10,Foundation Run 6,Long Run 5
Half Marathon,3,2,,Foundation Run 3,,Foundation Run 3,,,
Half Marathon,3,3,REST,Fast Finish Run 6,Foundation Run 6,Foundation Run 6,Speed Play Run 8,Foundation Run 6,Long Run 3
Half Marathon,3,3,,Foundation Run 3,,,,,
Half Marathon,3,4,Foundation Run 6,Fast Finish Run 8,Foundation Run 8,Foundation Run 6,Hill Repetition Run 7,Recovery Run 6,Long Run 7
Half Marathon,3,4,,Foundation Run 4,,Foundation Run 4,,Foundation Run 4,
Half Marathon,3,5,Foundation Run 6,Fast Finish Run 9,Foundation Run 8,Foundation Run 6,Hill Repetition Run 8,Recovery Run 6,Long Run 9
Half Marathon,3,5,,Foundation Run 5,,Foundation Run 4,,Foundation Run 4,
Half Marathon,3,6,REST,Fast Finish Run 7,Foundation Run 6,Foundation Run 6,Hill Repetition Run 6,Recovery Run 6,Long Run 4
Half Marathon,3,6,,Foundation Run 4,,Foundation Run 4,,Foundation Run 4,
Half Marathon,3,7,Foundation Run 6,Cruise Interval Run 2,Foundation Run 9,Foundation Run 6,Short Interval Run 6,Recovery Run 6,Long Run with Speed Play 1
Half Marathon,3,7,,Foundation Run 5,,Foundation Run 5,,Foundation Run 5,
